,fips,low_edu_vacc_rate,low_edu_poor_health_rate,low_edu_insured_rate,low_edu_personal_dr_rate,low_edu_no_dr_due_to_cost_rate,low_edu_hh_size,low_ses_absenteeism_rate,state_fips_x,ILI_02_03,AC_02_03,ILI_03_04,AC_03_04,ILI_04_05,AC_04_05,ILI_05_06,AC_05_06,ILI_06_07,AC_06_07,ILI_07_08,AC_07_08,pop,low_ses_pop,prop_low_edu,percent_low_edu,ili_by_prop_i_low_02_03,ili_by_prop_i_low_03_04,ili_by_prop_i_low_04_05,ili_by_prop_i_low_05_06,ili_by_prop_i_low_06_07,ili_by_prop_i_low_07_08,humidity,ims_coverage,state_fips_y,low_ses_ili_02_03,low_ses_ili_03_04,low_ses_ili_04_05,low_ses_ili_05_06,low_ses_ili_06_07,low_ses_ili_07_08,expected_low_ses_ili,low_ses_ili_over_ac_02_03,low_ses_ili_over_ac_03_04,low_ses_ili_over_ac_04_05,low_ses_ili_over_ac_05_06,low_ses_ili_over_ac_06_07,low_ses_ili_over_ac_07_08,expected_low_ses_ili_over_ac,low_ses_ili_over_ac_times_pop_02_03,low_ses_ili_over_ac_times_pop_03_04,low_ses_ili_over_ac_times_pop_04_05,low_ses_ili_over_ac_times_pop_05_06,low_ses_ili_over_ac_times_pop_06_07,low_ses_ili_over_ac_times_pop_07_08,expected_low_ses_ili_over_ac_times_pop
0,1001,0.2727272727272727,0.3636363636363637,0.8181818181818182,0.9090909090909092,0.18181818181818185,2.555555555555556,0.11658249158249158,1.0,148.32531303463998,2995.744292797,262.26119956046,6978.828794275999,199.03039721909,8085.308306875,95.36444993589998,5926.439400549999,113.64667053023001,10803.561668452,91.73979435004999,7485.390931129,55504.0,21727.2267439504,0.3914533501,39.14533501,99.85518562358288,176.5588100114594,133.99073194206727,64.20100962818293,76.50891913943249,61.7608283203432,0.7457813294970396,-0.3103732957529372,1,78.52526863881285,138.84434644147936,105.3691719178687,50.48712789879831,60.16596325138932,48.5681900736978,53.54541788396017,0.026212273466603892,0.019895078462930458,0.01303217736647995,0.008518964674491212,0.005569085927197773,0.006488397268834749,0.00759953707002538,569.5200090833375,432.26488085277424,283.15307260888824,185.09347710637417,121.00079269676927,140.97487866480108,165.1168650694979
1,1003,0.43478260869565216,0.21739130434782608,0.7826086956521741,0.9130434782608696,0.13043478260869565,2.0,0.9135357694287184,1.0,115.31975337505,29781.23239151,372.86269087730005,32152.0202646,410.67728654169997,40275.65893261,464.57657712765,70937.75541254,686.7713138989,83403.29385465001,947.92171942676,86006.28098485,212628.0,72008.75510178479,0.33866073659999996,33.86607366,75.52196298746192,244.18472564938136,268.94919496683417,304.247399390182,449.76091459752337,620.7861785546244,1.6100509791547468,-0.3296429914291355,1,56.7663041507825,183.5421625294543,202.1564482524119,228.6884467467429,338.0641056352812,466.6157450155823,177.46116099710628,0.001906109975723012,0.005708573241089232,0.005019320691702746,0.003223790285114047,0.00405336636013966,0.00542536823674281,0.0031082982469127014,137.2566064389073,411.06725249819635,361.4350344661441,232.14112514029037,291.87786556510963,390.67401269661497,223.8246872452437
2,1005,0.6363636363636364,0.3636363636363637,0.8181818181818182,1.0,0.2727272727272727,1.9,0.1611062335381914,1.0,98.2150287991,1858.256220085,154.16775076350999,3500.483559865,125.58647751781,4670.156085672,59.25123280721999,3283.723124966,75.88205342335,5950.592480278999,63.16935342893999,4202.949135616,25270.0,15977.208165765001,0.6322599195,63.22599195000001,74.32984913338784,116.67527664147512,95.04476088060731,44.841764538262396,57.42809070928021,47.80702676197548,0.9508535388773742,-0.2728374904474328,1,68.644249265712,107.75061252378839,87.7746468391229,41.41175178433397,53.03533128968797,44.15019672396361,39.37484971905629,0.03694014233546981,0.030781636502799033,0.01879479940904219,0.01261121909745748,0.008912613570069472,0.010504575549066881,0.010067650276333199,590.2003437667896,491.80461408813073,300.2884225920641,201.49207274414917,142.39868231002194,167.83379024044675,160.85294420509706
3,1007,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.2222222222222222,1.7142857142857142,0.1953551912568306,1.0,18.694645553001,1842.5053249143,24.108254669793,1578.8417717723999,15.115207849971002,1298.2738219759995,15.869762638611,1928.2760242215,24.279455184044,2836.0294860010004,60.62982217602801,3274.687928075501,22668.0,11695.257565328402,0.5159368963000001,51.59368962999999,13.393380871147865,17.271845888478698,10.828968920928698,11.369553637753224,17.39449885272984,43.43694552813579,0.703638555444258,-0.3363065731855726,1,11.53529443992416,14.875693431058227,9.326647706464767,9.792236189185152,14.981330541671149,37.4108644455394,28.822245055753328,0.006260657314768248,0.009421902623186141,0.0071838833600368045,0.005078233648182478,0.00528250168611465,0.011424253323438171,0.013554251699768077,73.21999982447196,110.19157793360523,84.01736621490726,59.39125049241137,61.78021780839239,133.60958510916842,158.52046473407796
4,1009,0.3076923076923077,0.38461538461538464,0.8461538461538461,1.0,0.3076923076923077,2.1,0.16560509554140124,1.0,37.225411384820006,3492.191923490001,57.63110533421999,4804.656085159,41.6458245843,3504.6065030570007,39.85050818942,4799.336348991,67.55422617924397,8018.038482861001,178.65436008229,10331.686373606,58013.0,26445.8076071198,0.4558600246,45.58600246,25.893049175801426,40.08673078313558,28.967776145727445,27.71899973280359,46.98900120699993,124.26742805503146,0.4363053683031902,-0.32080616635446224,1,21.395260200823262,33.1234081348394,23.935887344479085,22.904031416436197,38.82670984690798,102.68137752618283,65.17407105333034,0.006126599187435674,0.006894022703758879,0.006829835909851868,0.004772333037514964,0.004842419992109318,0.009938491531111452,0.011188516629754402,162.02286339686034,182.31799806272318,180.62052646014052,126.20820134722238,128.0617074641936,262.83143493676295,295.88935819954537
5,1013,0.4444444444444444,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3888888888888889,1.7647058823529411,0.18529862174578868,1.0,63.38023779521001,1329.3034172829998,101.94030522969999,2557.4086483260003,81.51640227093,3490.99207828,38.372893914992,2486.560175975,45.58777937479599,4485.478776551001,35.57947799152,2832.8669187140003,19825.0,12203.443144847499,0.6155582922999999,61.55582923,47.59917588611251,76.55816209132617,61.2196120474376,28.8184170690644,34.23686631990202,26.72053450361811,1.0082472460251903,-0.2856223672109879,1,43.55246426857357,70.04946108579493,56.0149396832282,26.368378366052102,31.326170449528828,24.44885026981209,30.074637251896306,0.0327633734347811,0.027390796981799182,0.01604556482145516,0.010604359637390577,0.006983907852444755,0.008630426691879623,0.010501770298720424,399.825964944758,334.2620336594468,195.81113802559315,129.40969992241153,85.22772240616356,105.32092145012726,128.15775676068282
6,1015,0.4081632653061225,0.2,0.82,0.84,0.26,2.1904761904761907,0.06654603940490551,1.0,27.66572756717,3286.44081191,61.43043056705999,8443.881081041,50.477796477469994,12381.978701600001,23.030210643020002,3017.845742078,55.413778053693,13270.45448937,107.82377838322999,14176.68891837,114728.0,48733.9123831768,0.4247778431,42.47778431,18.94508008270818,42.066648122034,34.56644667458991,15.770746816411426,37.946533680119636,73.83612490692316,0.4465705946262669,-0.4071598233346895,1,15.295545674781962,33.963030767171816,27.907649987116137,12.732708291690725,30.636605206735695,59.61251237958915,120.10173845146025,0.0046541369676737195,0.0040222061918220075,0.002253892585319171,0.004219138213116007,0.0023086327021637773,0.004204967233381548,0.013203485077474195,226.8143032019152,196.01784413932492,109.84100377403632,205.61511201050862,112.50870383218623,204.92450472574572,643.4574849182097
7,1017,0.3076923076923077,0.2307692307692308,1.0,0.8461538461538461,0.15384615384615385,1.6,0.09897458760588496,1.0,3.01787023505,759.015066731,14.166614022825,1983.711134188,19.18319603646,2884.6671673950004,73.84426472822001,7734.8529957659985,104.90313887775,7390.892794883999,122.74534063578,7713.154459835,33713.0,17820.712462697702,0.5286006129,52.86006129,2.1753551051441966,10.211643886884731,13.827719610417173,53.228762587762965,75.6167631242048,88.47786107022043,0.6096571856263947,-0.3793484374700209,1,1.889040181583466,8.86761227016669,12.007748942679518,46.22292291795082,65.66426952781725,76.83262118766899,43.91805300557891,0.0024888045895048805,0.004470213488919345,0.00416261157557498,0.0059759277834049215,0.008884484100928954,0.009961244985791791,0.009256853792144332,44.35227096540886,79.66238923290435,74.18070398221876,106.49529072590553,158.3278365420642,177.51648266228477,164.96372973903698
8,1019,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.2857142857142857,3.571428571428572,0.04807692307692308,1.0,3.208691988531,682.14401511,31.870264164039998,2517.263570689,42.70580372584,4355.369555938,39.283148669864005,4523.229130664001,65.34725597149999,6535.629754259999,186.87377119060002,13662.662251153,25857.0,12912.0545161881,0.4993639833,49.93639833,2.2803399065404064,22.64942707651944,30.34998336549562,27.9175850741166,46.44071668684651,132.80667619540478,0.3719034292059384,0.19455616068875708,1,1.9424508376264908,19.293351166797084,25.852878529717742,23.78090053863894,39.559369535043956,113.12806423211326,31.8209665208318,0.002847567074693543,0.00766441440278592,0.00593586335158875,0.00525750516979624,0.006052877996838592,0.008280089352466158,0.005915356137857633,36.767941306945296,98.96333660342906,76.64419119635694,67.88519337154983,78.15509067501532,106.91296511795166,76.37940093468565
9,1021,0.5,0.5,0.7857142857142857,0.7857142857142857,0.14285714285714285,2.1111111111111107,0.13347921225382933,1.0,54.14395802237001,4345.753713677,65.65623249321,3383.779836469,35.64407849021,2539.2751386889995,37.169465990271,3960.3960121279997,53.122841924722024,5787.1900105509985,102.12140150999001,4341.162236837,44067.0,26969.4823605051,0.6120108553,61.20108553,40.59596682733549,49.22762084000134,26.725157909247518,27.86886041296407,39.83035609732847,76.56841463913159,0.6650966961500262,-0.2865789194165877,1,37.070446584262356,44.95249236411317,24.404235596715363,25.448614284692887,36.371324629813614,69.91889950531521,66.4646353685899,0.008530268631559555,0.013284697745294633,0.009610709459911071,0.006425775151464926,0.006284798764772318,0.01610603236893966,0.016372241808041314,230.05692938921538,358.28142150636546,259.19585925101114,173.29982960000532,169.49776942585126,434.3713558718423,441.55088664389433
